ZIP,note
94710,"17"" stump, next to water line"
94708,"18"" stump"
94707,"18"" stump"
94710,"18"" stump"
94708,"18"" stump"
94708,"18"" stump"
94710,"18"" stump"
94708,"18"" stump"
94710,"18"" stump"
94707,"18"" stump"
94705,"18"" stump"
94708,"18"" stump"
94710,"18"" stump, between building & path"
94710,"18"" stump, between parking & path"
94707,"18"" stump, next to sign"
94706,"18"" stump, recently removed"
94703,"18"" stump, under pine"
94708,18'' stump
94708,18'' stump
94708,18'' stump
94708,18'' stump  5' height
94710,"19"" stump"
94706,"19"" stump"
94707,"19"" stump, next to utility boxes"
94708,19'' stump
94709,"197"" bay stump, mult st, decayed & split several times"
94707,2 bay volunteers growing at base
94708,"2 branches, trunk scratched"
94705,"2 cables, 1 stem w/competing leaders, LV line attatched to trunk, 2 old cables broken, included bark"
94707,"2 leaders dead, one hanging over neighbors' yard"
94705,"2 main scaffolds, road clearance, crowded, uneven weight"
94708,2 stems at 5'
94708,"2 stumps, 30'' stump"
94707,2 trunk wounds
94708,"2 trunks could eventually split, a couple large stubby limbs"
94705,"2 trunks growing together, growing over sidewalk, growing over curb, crown clean and thin, exposed roots, growing over curb,"
94705,"2 trunks growing together,growing over sidewalk, next to sign, crown clean and thin,"
94707,"2 x 4"" deadwood over sidewalk & over road, decaying pruning cuts, suckers, next to utility"
94703,2 x stakes
94709,"2"" deadwood over sidewalk, crown dieback, trunk wound, branch wounds, hit by trucks"
94710,"2"" stmp w/suckers"
94708,"2"" stump"
94702,"2"" stump"
94709,"2"" stump"
94710,"2"" stump"
94702,"2"" stump"
94703,"2"" stump"
94703,"2"" stump"
94702,"2"" stump w/suckers"
94702,"2"" stump, next to newly planted maple"
94708,"2' from sign, sidewalk clearance"
94708,2' from water line
94707,"2.5"" stump"
94703,"2.5"" stump"
94708,"20"" stump"
94708,"20"" stump"
94708,"20"" stump"
94707,"20"" stump, above swing scaffolding"
94704,"20"" stump, next to driveway, sewer cleanout & cherry"
94708,20'' stump
94708,20'' stump
94708,20'' stump
94708,20'' stump
94708,"20'' stump,"
94708,"20'' stump, next to utility"
94705,20''stump
94708,"21"" stump"
94702,"21"" stump, next to utility"
94708,"22"" stump"
94708,"22"" stump"
94708,"22"" stump"
94707,"22"" stump"
94707,"22"" stump, between path & retaining wall"
94708,"22"" stump, next to fence"
94708,22'' stump
94708,22'' stump
94708,22'' stump
94708,"22'' stump, next to utility"
94708,"22'' stump, replace tree"
94708,"22'' stump, with 1'' suckers 20' height"
94710,"23"" stump, recently removed"
94710,"23"" stump, under cypress, on lake edge & holding slope"
94708,"23'' stump, suckers"
94710,"24 "" stump"
94707,"24"" (4 stumps)"
94710,"24"" stump"
94710,"24"" stump"
94709,"24"" stump"
94708,"24"" stump"
94708,"24"" stump"
94707,"24"" stump"
94708,"24"" stump"
94703,"24"" stump covered in ivy"
94710,"24"" stump, next to turnout"
94707,"24"" stump, next to wall, suckers"
94705,24'' stump
94708,24'' stump
94708,24'' stump
94708,24'' stump
94708,24'' stump
94705,24'' stump
94708,"24'' stump, 2' height"
94708,"26"" stump"
94702,"26"" stump"
94708,"26"" stump"
94708,"26"" stump"
94708,"26"" stump, hillside between road & path"
94710,"26"" stump, recently removed"
94710,"26"" stump, under cypress"
94708,26'' stump
94708,26'' stump
94708,26'' stump
94708,26'' stump
94708,"26'' stump, 20' height,"
94708,"28"" stump"
94708,"28"" stump at fence"
94707,"28"" stump w/suckers"
94708,28'' stump
94707,"29"" stump"
94705,29'' stump
94708,29'' stump
94704,"2nd stem removed, palm resprouting from stump"
94710,"2x ash, crown dieback, deadwood, crowded, next to road"
94705,"3 & 4"" deadwood in middle, large branch failure & wound, included bark, circling roots, endweight reduction, branch wounds from vehicles"
94710,"3 codominant leaders , thin canopy , dieback , deadwood , install cables"
94705,"3 competing leaders, endweight reduction"
94707,"3 competing stems, headed back, endweight reduction"
94703,"3 large competing leaders, crowded"
94705,"3 leaders @ 5', deadwood, crowded, root wounds, girdling roots"
94705,"3 main leaders, crown dieback, crowded, uneven weight, branch failure, stub, 1 stem bowed over road"
94705,"3 nests, crown dieback, next to utilities"
94708,3 small trunk wounds
94708,"3 stemmed, deadwood , crown clean thin"
94707,"3 x 12"" stumps"
94709,"3"" banch breaking at trunk union, uneven weight, crowded"
94707,"3"" deadwood over road,"
94705,"3"" deadwood over sidewalk, irregular trunk growth, in decline,"
94705,"3"" deadwood over sidewalk, road clearance, next to utility"
94707,"3"" deadwood over sidewalk, trunk galls"
94707,"3"" deadwood over sidewalk, uneven weight, scaffold cavity"
94707,"3"" deadwood, hanger, crowded, growing into power lines"
94703,"3"" palm stump"
94710,"3"" stub, uneven weight, suckers"
94707,"3"" stump"
94703,"3"" stump"
94703,"3"" stump"
94707,"3"" stump"
94703,"3"" stump"
94707,"3"" stump"
94709,"3"" stump"
94702,"3"" stump"
94705,"3"" stump"
94705,"3"" stump"
94703,"3"" stump"
94702,"3"" stump w/sucker"
94707,"3"" stump, bricks"
94703,"3"" stump, next to sewer cleanout"
94703,"3"" stump, next to sign"
94703,"3"" stump, next to sign"
94703,"3"" stump, next to utility"
94708,3' from large leaning pine
94705,3' stump w/suckers
94707,3' trunk wound
94707,"3'' deadwood over the road, crown dieback, branche failures, weight reduction over the play grown"
94707,"3'' stub, deadwood, uneven weight"
94707,"3'' stump , replant tree"
94708,"3'' stump, waterspraugh"
94710,"3.5"" stump, next to electrical cabinet"
94705,"3/4 crown dead, grafted"
94709,3/4 tree dead
94710,"30"" stump, between sewer cleanout & driveway"
94704,"30"" stump, broken curb"
94707,"30"" stump, under pine"
94708,30'' stump
94708,30'' stump
94708,30'' stump
94708,30'' stump
94708,30'' stump
94708,30'' stump
94707,30'' stump
94708,"30'' stump, 2' height"
94708,"30'' stump, next to storm drain"
94708,31'' stump
94708,31'' stump
94708,32'' stump
94708,32'' stump
94708,33'' stump
94708,"34"" stump"
94707,"34"" stump, under oak"
94702,"34"" stump, under redwood, next to building"
94708,35'' stump
94708,"36"" stump"
94708,"36"" stump"
94710,"36"" stump, covered in ice plant"
94707,"36"" stump, under pine"
94710,"37"" stump w/2' deep cavity behind baseball field, next to retaining wall"
94708,"38"" stump"
94708,"38"" stump"
94708,39'' stump
94710,3x DEAD acacias
94710,"3x acacias, crowded, next to freeway"
94707,"3x junipers, between rocks, under pittosporum, crowded"
94710,"3x poplars, crowded, ivy growing up trunks"
94707,"4 "" stump"
94702,4 codominant leaders
94703,"4 competing leaders, crowded"
94707,"4"" deadwood"
94707,"4"" deadwood over curb & sidewalk, weight over road"
94708,"4"" deadwood over driveway, crowded"
94707,"4"" deadwood over driveway, crown dieback, crowded, sooty mold"
94707,"4"" deadwood over house, crossed branches, suckers, weight reduction"
94707,"4"" deadwood over property, suckers, decaying pruning cuts, root wounds from repaving"
94707,"4"" deadwood over sidewalk, lean over sidewalk, crown dieback, crossed branches, included bark, next to sewer cleanout"
94707,"4"" deadwood over sidewalk, leaning over road"
94703,"4"" stump"
94705,"4"" stump"
94708,"4"" stump"
94703,"4"" stump"
94702,"4"" stump"
94708,"4"" stump"
94707,"4"" stump"
94710,"4"" stump"
94705,"4"" stump"
94702,"4"" stump"
94703,"4"" stump"
94704,"4"" stump"
94709,"4"" stump"
94707,"4"" stump"
94703,"4"" stump"
94709,"4"" stump"
94707,"4"" stump @ 18"""
94707,"4"" stump w/suckers"
94702,"4"" stump, between sign & sewer cleanout"
94703,"4"" stump, next to planter wall"
94703,"4"" stump, next to planter wall"
94703,"4"" stump, next to sewer cleanout"
94703,"4"" stump, next to utility"
94705,"4"" stump, under ash"
94703,"4"" x 2 stump"
94710,"4"" x 2.5' stump"
94707,4' from water line
94709,"4' trunk crack @ 10', trunk wounds at 60'+, root crown cut from repaving, hit by trucks"
94708,4'' stump
94704,"4'' stump, 2' height"
94708,"4'' stump, next to utility"
94708,"4'' stump, replace tree"
94705,40 inch stump
94702,"40"" stump"
94710,"40"" stump, under cypress"
94708,40'' stump
94710,"42"" stump, under incense cedar"
94708,42'' stump
94708,46'' stump
94707,"48"" stump w/suckers, next to swing scaffolding"
94702,"4x Salix lasiolepis, next to creek"
94710,"4x junipers, covering path & homeless camp, path clearance"
94707,"5 & 7"" deadwood in middle, growing into house, deadwood & hanger over road"
94708,"5 competing leader leaders, topped repeatedly, deadwood, poor structure, crossed branches,"
94707,"5 x 5"" stumps, next to utility box"
94710,"5"" acacia stump w/suckers"
94707,"5"" deadwood over road, 2"" deadwood over sidewalk"
94708,"5"" deadwood over road, building clearance,"
94707,"5"" deadwood over road, decaying pruning cuts, trunk wound, uneven weight, growing out of road"
94705,"5"" deadwood over sidewalk"
94707,"5"" deadwood over sidewalk, crown dieback, topped, roots cut on both sides, on top of sewer cleanout"
94708,"5"" stub, lichen"
94704,"5"" stump"
94703,"5"" stump"
94708,"5"" stump"
94708,"5"" stump"
94709,"5"" stump"
94702,"5"" stump"
94707,"5"" stump"
94708,"5"" stump"
94705,"5"" stump"
94705,"5"" stump"
94709,"5"" stump"
94709,"5"" stump"
94705,"5"" stump"
94702,"5"" stump"
94703,"5"" stump"
94709,"5"" stump w/suckers"
94710,"5"" stump w/suckers"
94710,"5"" stump x 18"" tall"
94702,"5"" stump, berm"
94702,"5"" stump, between utilities"
94702,"5"" stump, broken curb"
94702,"5"" stump, close to utility"
94703,"5"" stump, next to Stop sign"
94703,"5"" stump, next to light pole"
94703,"5"" stump, next to utility"
94710,"5"" stump, under cypress, on lakeside slope"
94710,"5"" stump, under oak"
94705,"5"" stump, under pittosporum"
94703,"5"" stump, under sweet gum"
94707,"5"" stump, under sycamore"
94705,"5% living crown, suckers, roots cut, 3 nests, crowded"
94707,5' trunk wound
94707,"5'' deadwood over sidewalk, next to utility, deadwood, lean over the road"
94708,5'' stump
94708,5'' stump
94704,5'' stump
94705,5'' stump
94705,5'' stump
94708,"5'' stump,  10' height"
94707,"5'' stump, repeat a tree"
94708,52'' stump
94708,"6"" dead limb over road, next to pine"
94707,"6"" deadwood over road, 5"" deadwood over sidewalk, mortality spiral, roots cut w/stumpgrinder"
94707,"6"" deadwood over road, crown dieback, crowded"
94708,"6"" deadwood over sidewalk & road, suckers"
94706,"6"" from power pole"
94705,"6"" from sign"
94708,"6"" stump"
94708,"6"" stump"
94704,"6"" stump"
94708,"6"" stump"
94707,"6"" stump"
94710,"6"" stump"
94702,"6"" stump"
94707,"6"" stump"
94708,"6"" stump"
94702,"6"" stump"
94710,"6"" stump"
94702,"6"" stump"
94710,"6"" stump"
94703,"6"" stump"
94703,"6"" stump"
94707,"6"" stump"
94703,"6"" stump"
94710,"6"" stump"
94707,"6"" stump, 4' from water line"
94707,"6"" stump, 5' from water line"
94704,"6"" stump, next to redwood"
94705,"6"" stump, next to utility"
94708,"6"" stump, next to water meter"
94707,"6"" stump, recent removal"
94707,"6'' deadwood over sidewalk, old decaying pruning cuts, deadwood,"
94707,"6'' deadwood over the road and sidewalk, topped, hit by trucks"
94705,6'' stump
94705,6'' stump
94703,6'' stump
94708,6'' stump
94707,6'' stump
94708,6'' stump
94704,6'' stump 6' height
94708,"6'' stump, 6' height"
94705,"6'' stump, next to utility"
94708,6.5'' stump
94703,"60"" stump, recently removed, roots around power pole & utility"
94707,"7"" dead limb over sidewalk, trunk cavity, poor pruning cuts"
94707,"7"" deadwood over sidewalk, roots cut, trunk cavity, topped"
94709,"7"" stump"
94702,"7"" stump"
94707,"7"" stump"
94705,"7"" stump"
94707,"7"" stump"
94703,"7"" stump"
94704,"7"" stump"
94704,"7"" stump"
94703,"7"" stump, between curb & fence"
94703,"7"" stump, next to utility"
94709,"7"" stump, under cedar"
94707,7'' stump
94705,7'' stump
94708,"8"" deadwood over path, nexext to path, numerous root crown cavities"
94707,"8"" deadwood over road"
94707,"8"" deadwood over sidewalk, 12"" deadwood over road, root wounds, roots cut"
94707,"8"" stump"
94708,"8"" stump"
94705,"8"" stump"
94708,"8"" stump"
94710,"8"" stump"
94703,"8"" stump"
94708,"8"" stump"
94702,"8"" stump"
94707,"8"" stump"
94709,"8"" stump"
94703,"8"" stump"
94704,"8"" stump"
94702,"8"" stump"
94705,"8"" stump, between water line & sewer cleanout"
94708,"8"" stump, next to power pole & maple"
94709,"8"" stump, next to power pole anchor"
94704,"8"" stump, next to utility"
94705,"8"" stump, next to utility"
94703,"8"" stump, sign embeded in stump, next to sewer cleanout"
94707,"8"" stump, under elm"
94708,8' sidewalk section needs replacing
94704,"8'' 5' long, next to sign"
94703,8'' stump
94708,8'' stump
94708,"8'' stump, 5' height"
94705,"8'' stump, next to sign"
94707,"8, 2 & 3"" deadwood over road, weight toward house, between 2 power poles, growing through pittosporum"
94705,"85% dead crown, growing over building,"
94703,"9 competing leaders, crowded"
94708,"9"" deadwood over road, trunk wounds"
94703,"9"" stump"
94707,"9"" stump"
94705,"9"" stump"
94708,"9"" stump"
94710,"9"" stump"
94705,"9"" stump"
94705,"9"" stump"
94708,"9"" stump"
94702,"9"" stump, next to electrical box & building"
94703,"9"" stump, next to light pole & sign"
94703,"9"" stump, next to power pole"
94703,"9"" stump, relocate existing sign, existing tree well"
94702,"9"" stump, under pear"
94710,"9"" stump, under pines & cypress"
94710,"9"" stump, under pittosporum"
94707,"9'' deadwood over driveway, root wounds, roots have been cut, crowded, uneven weight"
94704,9'' stump
94708,9'' stump
94705,9'' stump
94708,9'' stump
94708,9'' stump
94705,"9'' stump, next to utility"
94708,"9'' stump, next to water hydrant"
94704,"AC around root crown, building clearance, crown clean & thin"
94703,"AC piled on curb, walk, tree well & against trunk"
94720,Adress on Bancroft Steps
94704,Adress on Bancroft Steps
94703,Agapanthus
94703,"Allston Way Lot, fireblight, between wall & parking, suckers, crown clean & thin"
94703,"Allston Way Lot, fireblight, next to wall, suckers, crown clean & thin"
94703,"Allston Way Lot, next to wall"
94703,"Allston Way Lot, next to wall, suckers"
94703,"Annosus root disease?, trunk wounds, uneven weight, curved trunk"
94702,"Armillaria or Phytopthora, corrected lean"
94704,Berkeley Way lot
94704,"Berkeley Way lot, DEAD"
94704,"Berkeley Way lot, at base of sign, sign clearance, bleeding canker, walk & road clearance, borers"
94704,"Berkeley Way lot, bleeding canker, possible phytopthora, included bark, next to light pole, sidewalk, road & light clearance"
94704,"Berkeley Way lot, corrected lean, next to sign, sign clearance"
94704,"Berkeley Way lot, corrected lean, trunk carving, sidewalk & road clearance, trunk wound, hit by vehicle"
94704,"Berkeley Way lot, crowded, under oak"
94704,"Berkeley Way lot, crowded, uneven weight, uneven weight, sign clearance"
94704,"Berkeley Way lot, crown dieback, deadwood, suckers, next to fence, vines growing up trunk, crown clean"
94704,"Berkeley Way lot, crown dieback, thrips"
94704,"Berkeley Way lot, included bark"
94704,"Berkeley Way lot, next to sign, sign clearance"
94703,"CMUs embedded in root crown, competing leaders, uneven weight"
94703,"Crossed branches , crown clean thin"
94709,"Crowded, deadwood, weight reduction, road clearance, curved trunk"
94705,"Crowded, next to water hydrant,"
94705,DEAD
94708,DEAD
94708,DEAD
94710,DEAD
94708,DEAD
94710,DEAD
94705,DEAD
94702,DEAD
94702,DEAD
94708,DEAD
94708,DEAD
94710,DEAD
94707,DEAD
94708,DEAD
94710,DEAD
94710,DEAD
94708,DEAD
94710,DEAD
94710,DEAD
94702,DEAD
94708,DEAD
94707,DEAD
94710,DEAD
94703,DEAD
94702,DEAD
94707,DEAD
94702,DEAD
94710,DEAD
94705,DEAD
94710,DEAD
94708,DEAD
94710,DEAD
94707,DEAD
94710,DEAD
94705,DEAD
94708,DEAD
94708,"DEAD, Foest Lane"
94705,"DEAD, between curb & fence next to tot lot"
94710,"DEAD, between lake & W Bolivar Dr gate"
94710,"DEAD, between path & lake"
94710,"DEAD, between path & lake, next to bench"
94710,"DEAD, crowded, lean over frisbee golf tee"
94710,"DEAD, crowded, under eucalyptus, lean towards path"
94710,"DEAD, large trunk wound, uneven weight, next to turnout"
94703,"DEAD, marked for removal by city"
94709,"DEAD, marked for removal by city"
94705,"DEAD, marked for removal by city, between curb & tot lot"
94709,"DEAD, next to benches"
94703,"DEAD, next to fence, crowded"
94710,"DEAD, next to path, crowded, conks"
94707,"DEAD, next to wall"
94710,"DEAD, pitch borers, fungal fruiting bodies"
94710,"DEAD, resting on shore, trunk failure"
94710,"DEAD, trunk failure, resting on acacia towards tracks"
94707,"DEAD, under elm"
94710,"DEAD, under eucalyptus, crowded"
94710,"DEAD, under pine, next to path, conks"
94704,"DEAD, under redwood, next to wall"
94710,"DEAD, uprooted"
94710,"DEAD, uprooted"
94710,"DEAD, uprooted, resting in lake"
94703,"DEAD, water flooding & not draining"
94702,DG
94702,DG
94702,DG
94707,DG
94703,DG
94707,DG
94703,DG
94702,DG
94707,DG
94702,"DG, relocate existing sign"
94708,Dead
94703,Dead
94708,"Dead Wood, concavity in trunk @ 25'"
94710,"Dead, crowded, next to paths"
94708,East Ct
94708,East Ct
94705,"Elmwood Lot, 10"" stump"
94705,"Elmwood Lot, 14"" stump, between steel post & wall"
94705,"Elmwood Lot, 16"" stump, next to wall"
94705,"Elmwood Lot, 17"" stump, between steel post & wall"
94705,"Elmwood Lot, 17"" stump, between steel post & wall"
94705,"Elmwood Lot, 18"" stump, between steel post & wall"
94705,"Elmwood Lot, 22"" stump, between steel post & wall"
94705,"Elmwood Lot, between parking & wall, next to steel post, slight lean towards parking, uneven weight, endweight reduction"
94705,"Elmwood Lot, between parking & wall, partially ground stump"
94705,"Elmwood Lot, deadwood, splitting scaffold, crown clean, parkig clearance"
94705,"Elmwood Lot, decaying pruning cuts, included bark, suckers, slight lean, crown clean, light clearance, between steel posts"
94705,"Elmwood Lot, included bark, next to building, suckers, slight lean, crossed branches, crown clean & thin"
94705,"Elmwood Lot, large branch failure, uneven weight, next to building"
94705,"Elmwood Lot, large longitudinal trunk wound, next to steel post & building, uneven weight, girdled by well"
94705,"Elmwood Lot, lean towards parking, suckers, crown clean"
94705,"Elmwood Lot, psyllids, corrected lean, next to wall & BFP"
94705,"Elmwood Lot, slight lean towards parking, trunk touching steel post"
94705,"Elmwood Lot, slight lean, included bark, uneven weight, suckers, sign clearance, between steel posts, crossed branches"
94705,"Elmwood Lot, slight lean, suckers, crown dieback, crown clean & thin, decaying pruning cuts, uneven weight, between steel posts"
94705,"Elmwood Lot, splitting trunk, suckers, between steel posts, uneven weight, crown clean, bracing candidate"
94705,"Elmwood Lot, suckers, crossed branches, crown clean & thin, included bark"
94705,"Elmwood Lot, suckers, decaying pruning cuts"
94705,"Elmwood Lot, trunk scorch, slight lean, crown dieback, suckers, uneven weight, between steel posts, crown clean"
94705,Female
94702,Female
94704,Female
94705,Female
94704,"Female, bowed trunk, uneven weight, branch wounds, hit by trucks"
94709,"Female, branch failure, bowed trunk, road & sign clearance"
94705,"Female, branch failures & wounds, recently pruned, next to utilities"
94704,"Female, codominant leaders"
94703,"Female, corrected lean"
94704,"Female, corrected lean, road clearance, crown clean"
94710,"Female, crowded"
94705,"Female, crowded"
94709,"Female, crowded, competing leaders, uneven weight"
94709,"Female, large branch failures, bowed trunk"
94704,"Female, lean towards property, branch wounds, included bark"
94705,"Female, road clearance, branch wounds,"
94703,"Female, slight lean towards road"
94703,"Female, slight lean, crown clean & thin, competing leaders"
94705,"Female, topped, next to sign, sign clearance,"
94709,"Female, trunk wound, upright banches, uneven weight, next to sewer cleanout"
94705,"Female, trunk wounds, growing over road, crowded, uneven weight, dead cambium"
94703,"Female, uncorrected lean"
94705,"Female, uneven growth, curved trunk"
94705,"Forest Ave, upright growth, competing leaders, included bark, crown clean & thin"
94708,Forest Lane
94708,Forest Lane
94708,Forest Lane
94708,Forest Lane
94708,Forest Lane
94708,Forest Lane
94708,"Forest Lane, ivy"
94708,"Forest Lane, large shrub specis, sidewalk & road clearance, hit by vehicles, bad pruning cuts"
94708,"Forest Lane, next to power pole, poor structure, crossed branches, slight lean,"
94708,"Forest Lane, sidewalk & road clearance, crowded"
94708,"Forest Lane, under magnolia"
94702,"GC growrowing up trunk, next to sign,"
94705,"GROWING OUT THE ROAD, large deadwood over road, deadwood, crowded, lean over driveway, trunk cavity"
94705,"GROWING OUT THE ROAD, trunk devides at 6', large trunk cavity, deadwood, road clearance"
94704,Hillside Ave
94704,Hillside Ave
94704,Hillside Ave
94704,Hillside Ave
94704,Hillside Ave
94704,Hillside Ave
94704,"Hillside Ave, aphids, crowded"
94704,"Hillside Ave, aphids, crowded, uneven weight, road clearance"
94704,"Hillside Ave, aphids, numerous hatchet wounds around trunk, road clearance,"
94704,"Hillside Ave, crowded"
94704,"Hillside Ave, crowded"
94704,"Hillside Ave, crowded, aphids"
94704,"Hillside Ave, crowded, growing towards road"
94704,"Hillside Ave, crown clean & thin"
94704,"Hillside Ave, curved trunk, growing towards road"
94704,"Hillside Ave, growing over road, crowded, road clearance, uneven weight, trunk wound, hit by vehicles"
94704,"Hillside Ave, included bark, crown clean, recently pruned, growing over curb"
94704,"Hillside Ave, ivy, trunk wound, crown clean & thin"
94704,"Hillside Ave, large branch failure & cavity, partially topped, uneven weight, aphids"
94704,"Hillside Ave, lean towards road, trunk wounds, aphids, crowded, uneven weight, crossed branches"
94704,"Hillside Ave, next to power pole"
94704,"Hillside Ave, partially topped"
94704,"Hillside Ave, road clearance"
94704,"Hillside Ave, road clearance, crowded, trunk wound"
94704,"Hillside Ave, roots cut for repaving, root cavity, topped, suckers, aphids, growing over curb"
94704,"Hillside Ave, sign clearance, curved trunk, crowded"
94704,"Hillside Ave, slight lean towards road, competing leaders, included bark, crown clean & thin"
94704,"Hillside Ave, topped"
94704,"Hillside Ave, two large heavy scaffolds over property & road, roots cut, growing over curb"
94704,"Hillside Ave, uncorrected lean towards property, aphids, crowded"
94704,"Hillside Ave, uncorrected lean towards property, scaffold sitting on wall, branch failures, crowded, small deadwood"
94704,"Hillside Ave, under pittosporum, crowded, growing towards road"
94704,"Hillside Ave, uneven weight, growing towards road, crowded, sign & sidewalk clearance, crown clean & thin"
94707,LV line coiled & hanging on limb
94703,"LV line hanging down through crown, crown clean"
94702,LV line hanging through crown
94710,"LV line hanging through crown, crowded"
94710,"LV line hanging through crown, crowded, crown clean & thin"
94702,"LV line hanging through crown, next to utility, crowded, decaying pruning cuts"
94702,"LV line hanging through crown, slight lean, trunk scar"
94709,"LV line hanging through crown, small trunk wounds, suckers"
94710,"LV line hanging through crown, sooty mold, uneven weight"
94710,"LV line hanging through crown, suckers, crown clean & thin, included bark"
94704,"LV line wrapped around branch, building clearance"
94705,LV lines passig through crown
94702,LV lines sagging down to 8'
94702,"LV lines sagging down to 8', under dawn redwood"
94702,LV lines sagging to 8' high
94707,Lagunaria grove
94708,Low CTDR
94708,Low CTDR
94708,"Low CTDR, recessed growth areas in trunk"
94708,"Low CTDR, recessed growth areas in trunk"
94720,Move sign prior to planting
94708,Multiple leaders @ 40'
94710,"Myoporum grove, thrips, crown dieback, deadwood, branch failures, crowded, next to path, path clearance"
